level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
2	1	7	0	0	0	325	175	1784	79	-1	
3	1	7	1	0	0	325	175	1784	79	-1	
4	1	7	1	1	0	325	175	1784	79	-1	
5	1	7	1	1	1	325	175	1784	79	95.000000	 
2	1	8	0	0	0	325	183	1702	75	-1	
3	1	8	1	0	0	325	183	1702	75	-1	
4	1	8	1	1	0	325	183	1702	75	-1	
5	1	8	1	1	1	325	183	1702	75	95.000000	 
2	1	9	0	0	0	596	295	1426	64	-1	
3	1	9	1	0	0	596	295	1426	64	-1	
4	1	9	1	1	0	596	295	1426	64	-1	
5	1	9	1	1	1	596	295	1426	64	95.000000	 
2	1	10	0	0	0	743	365	1248	56	-1	
3	1	10	1	0	0	743	365	1248	56	-1	
4	1	10	1	1	0	743	365	1248	56	-1	
5	1	10	1	1	1	743	365	1248	56	95.000000	 
2	1	11	0	0	0	762	432	1227	49	-1	
3	1	11	1	0	0	762	432	1227	49	-1	
4	1	11	1	1	0	762	432	1227	49	-1	
5	1	11	1	1	1	762	432	1227	49	95.000000	 
2	1	12	0	0	0	552	427	1437	57	-1	
3	1	12	1	0	0	552	427	1437	57	-1	
4	1	12	1	1	0	552	427	1437	57	-1	
5	1	12	1	1	1	552	427	1437	57	95.000000	 
2	1	13	0	0	0	876	502	1054	39	-1	
3	1	13	1	0	0	876	502	1054	39	-1	
4	1	13	1	1	0	876	502	1054	39	-1	
5	1	13	1	1	1	876	502	1054	39	95.000000	 
2	1	14	0	0	0	992	569	908	35	-1	
3	1	14	1	0	0	992	569	908	35	-1	
4	1	14	1	1	0	992	569	908	35	-1	
5	1	14	1	1	1	992	569	908	35	95.000000	 
2	1	15	0	0	0	708	631	1136	42	-1	
3	1	15	1	0	0	708	631	1136	42	-1	
4	1	15	1	1	0	708	631	1136	42	-1	
5	1	15	1	1	1	708	631	1136	42	95.000000	 
